date,nofu,stumpage_price
2011-01-16,,53.69
2011-01-23,,53.73
2011-01-30,,53.44
2011-02-06,,53.54
2011-02-13,,53.65
2011-02-20,,54.11
2011-02-27,,54.15
2011-03-06,,54.24
2011-03-13,,54.57
2011-03-20,,54.61
2011-03-27,,54.96
2011-04-03,,55.38
2011-04-10,,55.85
2011-04-17,,56.16
2011-04-24,,56.67
2011-05-01,,57.07
2011-05-08,,57.32
2011-05-15,,57.66
2011-05-22,,57.91
2011-05-29,,58.16
2011-06-05,,58.57
2011-06-12,,58.82
2011-06-19,,59.1
2011-06-26,,59.55
2011-07-03,,60.03
2011-07-10,,60.32
2011-07-17,,60.56
2011-07-24,,60.61
2011-07-31,,60.33
2011-08-07,,60.06
2011-08-14,,59.85
2011-08-21,,59.68
2011-08-28,,59.66
2011-09-04,,59.52
2011-09-11,,59.16
2011-09-18,,58.74
2011-09-25,,58.0
2011-10-02,,57.39
2011-10-09,,57.34
2011-10-16,,57.34
2011-10-23,,57.25
2011-10-30,,57.17
2011-11-06,,57.01
2011-11-13,,56.86
2011-11-20,,56.74
2011-11-27,,56.69
2011-12-04,,56.55
2011-12-11,,56.39
2011-12-18,,56.28
2011-12-25,,56.09
2012-01-01,,54.8
2012-01-15,,52.33
2012-01-22,,51.64
2012-01-29,,51.74
2012-02-05,,51.87
2012-02-12,,52.1
2012-02-19,,52.67
2012-02-26,,53.36
2012-03-04,,53.83
2012-03-11,,54.22
2012-03-18,,54.49
2012-03-25,,54.78
2012-04-01,,55.34
2012-04-08,,55.5
2012-04-15,,55.79
2012-04-22,,55.96
2012-04-29,,56.01
2012-05-06,,56.25
2012-05-13,,56.61
2012-05-20,,56.9
2012-05-27,,57.22
2012-06-03,,57.54
2012-06-10,,57.69
2012-06-17,,57.72
2012-06-24,,57.56
2012-07-01,,57.1
2012-07-08,,56.55
2012-07-15,,55.95
2012-07-22,,55.63
2012-07-29,,55.04
2012-08-05,,54.09
2012-08-12,,54.13
2012-08-19,,54.02
2012-08-26,,54.32
2012-09-02,,54.41
2012-09-09,,54.24
2012-09-16,,54.27
2012-09-23,,54.13
2012-09-30,,54.11
2012-10-07,,54.29
2012-10-14,,54.35
2012-10-21,,54.36
2012-10-28,,54.33
2012-11-04,,54.29
2012-11-11,,54.41
2012-11-18,,54.53
2012-11-25,,54.7
2012-12-02,,54.92
2012-12-09,,54.91
2012-12-16,,54.93
2012-12-23,,54.8
2012-12-30,,54.62
2013-01-20,,54.36
2013-01-27,,54.41
2013-02-03,,54.53
2013-02-10,,54.53
2013-02-17,,54.67
2013-02-24,,55.03
2013-03-03,,55.22
2013-03-10,,55.47
2013-03-17,,55.69
2013-03-24,,55.76
2013-03-31,,55.88
2013-04-07,,56.14
2013-04-14,,56.46
2013-04-21,,56.79
2013-04-28,,57.19
2013-05-05,,57.46
2013-05-12,,57.79
2013-05-19,,58.14
2013-05-26,,58.44
2013-06-02,,58.64
2013-06-09,,58.67
2013-06-16,,58.69
2013-06-23,,58.62
2013-06-30,,58.48
2013-07-07,,58.3
2013-07-14,,57.91
2013-07-21,,57.63
2013-07-28,,57.37
2013-08-04,,56.9
2013-08-11,,56.81
2013-08-18,,56.84
2013-08-25,,56.82
2013-09-01,,56.83
2013-09-08,,57.06
2013-09-15,,57.17
2013-09-22,,57.28
2013-09-29,,57.4
2013-10-06,,57.28
2013-10-13,,57.27
2013-10-20,,57.28
2013-10-27,,57.28
2013-11-03,,57.4
2013-11-10,,57.45
2013-11-17,,57.59
2013-11-24,,57.6
2013-12-01,,57.4
2013-12-08,,57.27
2013-12-15,,57.09
2013-12-22,,57.03
2013-12-29,,57.01
2014-01-05,,56.99
2014-01-19,,56.87
2014-01-26,,56.94
2014-02-02,,56.98
2014-02-09,,57.03
2014-02-16,,57.0
2014-02-23,,57.07
2014-03-02,,57.08
2014-03-09,,56.98
